ref,greek_phrase,lemma,morphology,chosen_rendering,alternate_renderings,rationale,status,reviewer
Genesis 7:23,και εξηλειψεν παν το αναστημα ο ην επι προσωπου πασης της γης απο ανθρωπου εως κτηνους και ερπετων και πετεινων του ουρανου και εξηλειφθησαν απο της γης και κατελειφθη νωε μονος,αναστημα,flood wipes out rising things,"And he wiped out every rising thing that was on the face of the earth, from human to cattle and creeping things and birds of heaven, and they were wiped from earth. And Noah alone was left, and those with him in the ark.",every thing that rose up,Current line keeps the Greek rising-thing wording.,reviewed,codex
Judges 20:18,και ανεστησαν και ανεβησαν εις βαιθηλ και επηρωτησαν εν τω θεω και ειπαν οι υιοι ισραηλ τις αναβησεται ημιν ηγουμενος του πολεμησαι εν βενιαμιν,ηγουμενος,benjamin war order,"And they arose and went up to Baethel and inquired of God, and sons of Israel said, Who will go up for us, leading to fight with Benjamin? And the Lord said, Judah shall go up, leading.",who shall go up for us first,Current line keeps the Greek leading-to-fight wording.,reviewed,codex
1 Kings 11:7,και ουτως εποιησεν πασαις ταις γυναιξιν αυτου ταις αλλοτριαις θυμιωσαις και θυσιαζουσαις τοις ειδωλοις αυτων,θυμιαω,solomon foreign wives,"And thus he did for all his foreign wives, burning incense and sacrificing to their idols.",did he for all his strange wives,Current line keeps the Greek burning-incense and sacrificing wording.,reviewed,codex
Numbers 18:17,πλην πρωτοτοκα μοσχων και πρωτοτοκα προβατων και πρωτοτοκα αιγων ου λυτρωση αγια εστιν και το αιμα αυτων προσχεεις προς το θυσιαστηριον και το στεαρ ανοισεις θυσιαν ως οσμην ευωδιας κυριω,προσχεω,firstborn holy,"Only firstborn of cattle and firstborn of sheep and firstborn of goats you shall not redeem; they are holy. And their blood you shall pour out toward altar, and fat you shall offer as gift, as aroma of sweet fragrance to the Lord.",sprinkle their blood on the altar,Current line keeps the Greek pour-out-toward-the-altar wording.,reviewed,codex
1 Samuel 28:15,και ειπεν σαμουηλ ινα τι παρηνωχλησας μοι αναβιβασαι με και ειπεν σαουλ θλιβομαι σφοδρα και οι αλλοφυλοι πολεμουσιν εν εμοι και ο θεος απεστη απ εμου και ουκ επηκουσεν μοι ετι και δια χειρος προφητων και ενυπνιων,παρενοχλεω,saul and samuel,"And Samouēl said, Why have you disturbed me, to bring me up? And Saoul said, I am in great distress, and foreigners are fighting against me, and God has departed from me and no longer listened to me, both by the hand of prophets and in dreams. And now I have called you to make known to me what I shall do.",why hast thou disquieted me,Current line keeps the Greek disturbed-me wording.,reviewed,codex
Nehemiah 3:15,και το τειχος κολυμβηθρας κωδια εν κηπω του βασιλεως και εως των βαθμων των καταβαινοντων απο πολεως δαυιδ,κωδια,pool wall note,"And wall of pool of Kodia at king's garden, and as far as stairs going down from the city of David.",the pool of Siloam by the king's garden,Current line keeps the Greek Kodia form.,reviewed,codex
2 Chronicles 14:10,και εβοησεν ασα προς κυριον τον θεον αυτου και ειπεν κυριε ουκ αδυνατησει παρα σοι σωζειν εν πολλοις και εν ολιγοις,αδυνατεω,asa cries to lord,"And Asa cried to the Lord his God and said, Lord, with you it is not impossible to save with many and with few. Strengthen us, Lord our God, because in you we trust, and in your name we came against this great multitude. Lord our God, let not man prevail against you.","it is nothing with thee to help, whether with many, or with few",Current line keeps the Greek not-impossible wording.,reviewed,codex
1 Kings 12:27,εαν αναβη ο λαος ουτος του ποιησαι θυσιας εν οικω κυριου εν ιερουσαλημ και επιστραφησεται καρδια του λαου τουτου προς τον κυριον αυτων προς ροβοαμ βασιλεα ιουδα και αποκτενουσιν με,επιστρεφω,jeroboam fear,"If this people goes up to offer sacrifices in the house of the Lord in Ierousalem, then heart of the people will turn back to their lord, to Roboam king of Iouda, and they will kill me.",the heart of this people shall return to their lord,Current line keeps the Greek turn-back wording.,reviewed,codex
2 Samuel 4:12,και ενετειλατο δαυιδ τοις παιδαριοις αυτου και απεκτειναν αυτους και απεκοψαν τας χειρας αυτων και τους ποδας αυτων και εκρεμασαν αυτους επι της κολυμβηθρας εν χεβρων,κολυμβηθρα,david judges assassins,"And David commanded his young men, and they kill them and cut off their hands and their feet and hanged them by pool in Chebrōn. And they buried head of Iebosthe in tomb of Abennēr son of Nēr in Chebrōn.",hanged them over the pool in Hebron,Current line keeps the Greek pool wording.,reviewed,codex
2 Kings 18:4,αυτος περιειλεν τα υψηλα και συνετριψεν τας στηλας και εξωλεθρευσεν τα αλση και συνεκοψεν τον οφιν τον χαλκουν ον εποιησεν μωυσης,συγκοπτω,hezekiah reform serpent,"He removed the high places and crushed all the pillars and destroyed the groves and the bronze serpent which Moses made, because until those days sons of Israel were burning incense to it, and he called it Neesthan.",brake in pieces the brazen serpent,Current line keeps the Greek cut-down wording and Neesthan form.,reviewed,codex
Joshua 4:3,και εντειλασθε αυτοις λεγοντες αναλαβετε εκ μεσου του ιορδανου ετοιμους δωδεκα λιθους και φεροντες συν υμιν τοποθετησατε αυτους εν τη παρεμβολη υμων,ετοιμος,jordan memorial stones,"and command them, saying, Take up from the midst of Jordan twelve ready stones, and, carrying them with you, place them in your camp, where you lodge for night.",twelve prepared stones,Current line keeps the Greek ready-stones wording.,reviewed,codex
1 Samuel 14:45,και ειπεν ο λαος προς σαουλ ει ο ποιησας την σωτηριαν την μεγαλην ταυτην εν ισραηλ θανατωθησεται σημερον ζη κυριος ει πεσειται θριξ εκ της κεφαλης αυτου επι την γην,σωτηρια,jonathan spared,"And the people said to Saoul, Will the one who worked this great salvation in Israel be put to death today? Lord lives, if hair of his head falls to ground, because with God he acted this day. And people prayed for Jonathan, and he did not die.",wrought this great salvation,Current line keeps the Greek salvation wording.,reviewed,codex
2 Chronicles 6:33,και συ εισακουση εκ του ουρανου εκ εδρας ετοιμης σου και ποιησεις κατα παντα οσα αν επικαλεσηται προς σε ο αλλογενης,εδρα ετοιμη,solomon prayer foreigner,"then you shall hear from heaven, from your ready dwelling, and do according to all things whatever a foreigner calls upon you for, so that all the peoples of the earth may know your name and fear you as your people Israel do, and know that your name has been called upon this house which I built.",from thy prepared habitation,Current line keeps the Greek ready-dwelling wording.,reviewed,codex
1 Kings 2:42,και απεστειλεν ο βασιλευς και εκαλεσεν τον σεμει και ειπεν προς αυτον ουχ ωρκισα σε κατα κυριου και διεμαρτυραμην σοι λεγων εν η ημερα εξελθης και πορευθης οπου εαν πορευθης,διαμαρτυρομαι,shimei judged,"And the king sent and called Semei and said to him, Did I not make you swear by the Lord and testify against you, saying, On whatever day you go out and go wherever you may go, know surely that by death you shall die?",did I not adjure thee by the Lord,Current line keeps the Greek testify-against-you wording.,reviewed,codex
1 Kings 15:29,και εγενετο ως εβασιλευσεν επαταξεν παντα τον οικον ιεροβοαμ ου κατελιπεν πασαν πνοην του ιεροβοαμ εως του εξολεθρευσαι αυτον,πνοη,baasa on jeroboam house,"And it came to be when he reigned, he struck house of Ieroboam and left no breathing thing of Ieroboam until he destroyed him, according to the word of the Lord which he spoke by the hand of his servant Achiou the Selōnite.",left not to Jeroboam any that breathed,Current line keeps the Greek breathing-thing wording.,reviewed,codex
Leviticus 6:14,επι τηγανον ποιηθησεται εν ελαιω πεφυραμενην οισει αυτην θυσιαν κλαστην εις οσμην ευωδιας κυριω,κλαστη,grain offering on griddle,"It shall be made on griddle with oil. He shall bring it well mixed, sacrifice rolled out in pieces, aroma of sweet fragrance to the Lord.",broken in pieces,Current line keeps the Greek rolled-out-in-pieces wording.,reviewed,codex
Exodus 38:14,και οι κλαδοι εκ των δυο μερων αυτου,κλαδος,tabernacle branch piece,"and the branches from both sides of it,",the two pillars,Current line keeps the Greek branches wording.,reviewed,codex
Deuteronomy 21:5,και προσελευσονται οι ιερεις οι λευιται οτι αυτους εξελεξατο κυριος ο θεος σου παρεστηκεναι αυτω και ευλογειν επι τω ονοματι αυτου και επι τω στοματι αυτων εσται πασα αντιλογια και πασα πληγη,αντιλογια,levitical verdicts,"And priests, Levites, shall come near, because the Lord your God chose them to stand by him and bless in his name, and by their mouth shall be every dispute and every blow.",every controversy and every stroke,Current line keeps the Greek dispute-and-blow wording.,reviewed,codex
Exodus 33:19,και ειπεν εγω παρελευσομαι προτερον σου τη δοξη μου και καλεσω τω ονοματι μου κυριος εμπροσθεν σου και ελεησω ον αν ελεω και οικτειρησω ον αν οικτειρω,προτερος,moses sees glory,"And he said, I will pass before you in my glory, and I will call on my name, Lord, before you. And I will have mercy on whom I have mercy, and pity whom I pity.",I will pass by before thee with my glory,Current line keeps the Greek before-you-in-my-glory wording.,reviewed,codex
2 Chronicles 2:3,ιδου εγω οικοδομω οικον τω ονοματι κυριου του θεου μου αγιασαι αυτον αυτω του θυμιαν ενωπιον αυτου θυμιαμα αρωματων και προθεσιν διαπαντος,προθεσις,solomon temple purpose,"behold, I his son am building a house to the name of the Lord my God, to sanctify it to him, to burn incense of spices before him and perpetual presentation and whole burnt offerings morning and evening and on Sabbaths and new moons and appointed feasts of the Lord our God.",the shewbread continually,Current line keeps the Greek perpetual-presentation wording.,reviewed,codex
Deuteronomy 18:22,οσα εαν λαληση ο προφητης εν ονοματι κυριου και μη γενηται το ρημα και μη ελθη τουτο το ρημα ο ουκ ελαλησεν κυριος,γενηται,false prophet test,"Whatever prophet speaks in the name of the Lord and matter does not happen and does not come to pass, this is word that the Lord did not speak. In impiety prophet spoke it; you shall not spare him.","if the thing follow not, nor come to pass",Current line keeps the Greek happen and come-to-pass pairing.,reviewed,codex
Deuteronomy 26:13,και ερεις εναντιον κυριου του θεου σου εξεκαθαρα τα αγια εκ της οικιας μου και εδωκα αυτα τω λευιτη και τω προσηλυτω και τω ορφανω και τη χηρα,εκκαθαιρω,tithe declaration,"And you shall say before the Lord your God, I have cleansed holy things out of my house, and I have given them to Levite and proselyte and orphan and widow, according to every command which you commanded me.",I have brought out the hallowed things out of my house,Current line keeps the Greek cleansed-holy-things wording.,reviewed,codex
1 Chronicles 29:5,δια χειρος τεχνιτων και τις ο προθυμουμενος εμπλησαι τας χειρας αυτου σημερον κυριω,εμπιπλημι χειρας,willing to fill hands,by the hand of craftsmen. And who is willing to fill his hands for the Lord today?,consecrate his hand unto the Lord,Current line keeps the Greek fill-his-hands wording.,reviewed,codex
1 Chronicles 26:17,κατα ανατολας εξ της ημερας κατα βορραν της ημερας τεσσαρας κατα νοτον της ημερας τεσσαρας και εις το ασεφιν δυο δυο,ασεφιν,gatekeeper posts,"Toward east six for day, north for day four, south for day four, and for Asuppim two.",at Parbar westward four at the causeway,Current line keeps the Greek Asuppim form and count wording.,reviewed,codex
Deuteronomy 33:21,και ειδεν απαρχην αυτου οτι εκει γη αρχοντων συνηγμενων μετα αρχοντων λαων δικαιοσυνην κυριος εποιησεν και κρισιν αυτου μετα ισραηλ,απαρχη,gad blessing,"And he saw his first portion, because there land of leaders was apportioned, gathered together with the leaders of peoples. The Lord did righteousness and his judgment with Israel.",he saw the first-fruits for himself,Current line keeps the Greek first-portion and leaders wording.,reviewed,codex
Numbers 17:10,αποστητε εκ μεσου της συναγωγης ταυτης και εξαναλωσω αυτους εις απαξ και επεσον επι προσωπον αυτων,εξαναλισκω,rebel congregation warning,"Move away from the midst of this congregation, and I will consume them at once. And they fell on their face.",consume them at once,Current line keeps the Greek at-once wording.,reviewed,codex
2 Chronicles 36:5,ιωακιμ ετων εικοσι πεντε εν τω βασιλευσαι αυτον και ενδεκα ετη εβασιλευσεν εν ιερουσαλημ και ονομα της μητρος αυτου ζεχωρα θυγατηρ νηριου εκ ραμα,νηριος,jehoiakim mother name,"Jehoiakim was twenty-five years old when he reigned, and eleven years he reigned in Ierousalem, and the name of his mother was Zechōra daughter of Nēriou from Rama.",Zebida daughter of Pedaiah of Rumah,Current line keeps the Greek mother-name tradition.,reviewed,codex
Numbers 7:88,παντα τα κτηνη θυσιαν σωτηριου βοες εικοσι τεσσαρες κριοι εξηκοντα τραγοι εξηκοντα αμναδες ενιαυσιοι αμωμοι εξηκοντα τουτο εγενετο εγκαινισμος του θυσιαστηριου,σωτηριον,altar dedication totals,"All cattle for the sacrifice of salvation were twenty-four cows, sixty rams, sixty goats, sixty unblemished yearling ewe lambs. This was dedication of altar after he anointed it.",peace-offerings,Current line keeps the Greek sacrifice-of-salvation wording.,reviewed,codex
Joshua 12:1,και ουτοι οι βασιλεις της γης ους απεκτειναν οι υιοι ισραηλ και κατεκληρονομησαν την γην αυτων περαν του ιορδανου αφ ηλιου ανατολων απο φαραγγος αρνων εως ορους αερμων και πασαν την αραβα ανατολων,φαραγξ,kings east of jordan,"And these are kings of land whom sons of Israel killed, and they inherited their land beyond Jordan from sunrise, from ravine of Arnōn to Mount Aermōn and all the eastern Araba.",from the brook Arnon unto mount Hermon,Current line keeps the Greek ravine wording and Aermōn form.,reviewed,codex
Nehemiah 2:19,και ηκουσαν σαναβαλλατ ο αορωνιτης και τωβια ο παις ο αμμωνιτης και γεσαμ ο αραψ και εξεγελασαν ημας και ηλθον εφ ημας και ειπαν τι το ρημα τουτο ο υμεις ποιειτε,εξεγελαω,mocking the wall work,"And Sanaballat the Horonite and Tobia the servant the Ammonite and Geshem the Arab heard and mocked us and came against us and said, What is this thing you are doing? Are you rebelling against the king?",laughed us to scorn,Greek ῥῆμα can mean word or matter; English needs thing here because the object is work being done.,reviewed,codex
1 Chronicles 6:31,υιος αμασαι υιος βανι υιος σεμμερ,ονομα,levite genealogy line,"son of Amasai son of Bani son of Semmer,",son of Amaziah son of Boni son of Semer,Current line keeps transmitted Greek name chain.,reviewed,codex
Genesis 27:42,και ανηγγελη ρεβεκκα τα ρηματα ησαυ του υιου αυτης του πρεσβυτερου και αποστειλασα εκαλεσεν ιακωβ τον υιον αυτης τον νεωτερον και ειπεν αυτω ιδου ησαυ ο αδελφος σου απειλει σοι,απειλεω,rebekah warns jacob,"And words of Esau her older son were reported to Rebekah, and she sent and called Jacob her younger son and said to him, Look, Esau your brother threatens you, planning to kill you.",comforteth himself concerning thee,Current line keeps the Greek threatens-you wording.,reviewed,codex
Deuteronomy 20:1,και εαν εξελθης εις πολεμον επι τους εχθρους σου και ιδης ιππον και αναβατην και λαον πλειονα σου ου φοβηθηση απο προσωπου αυτων,αναβατης,war encouragement,"And if you go out to war against your enemies and see horse and rider and people more numerous than you, you shall not fear before them, because the Lord your God is with you, who brought you up from the land of Egypt.",horses and chariots,Current line keeps the Greek horse-and-rider wording.,reviewed,codex
Exodus 8:25,και ειπεν μωυσης ιδου εγω εξερχομαι απο σου και προσευξομαι τω θεω και απελευσεται η κυνομυια απο σου και απο των παιδων σου και απο του λαου σου αυριον,κυνόμυια,dog-fly plague,"And Moses said, Look, I am going out from you, and I will pray to God, and dog-fly will depart from you and from your servants and your people tomorrow. Only do not still deceive, not sending people away to sacrifice to the Lord.",the dog-fly shall depart,Current line keeps the Greek dog-fly wording.,reviewed,codex
1 Samuel 28:19,και παραδωσει κυριος τον ισραηλ μετα σου εις χειρας αλλοφυλων και αυριον συ και οι υιοι σου μετα σου πεση και την παρεμβολην ισραηλ δωσει κυριος εις χειρας αλλοφυλων,παρεμβολη,saul doom,"And the Lord will deliver Israel with you into the hands of foreigners, and tomorrow you and your sons with you will fall, and camp of Israel the Lord will give into the hands of foreigners.",to morrow shalt thou and thy sons be with me,Current line keeps the Greek camp wording and fall statement.,reviewed,codex
Deuteronomy 23:15,οτι κυριος ο θεος σου εμπεριπατει εν τη παρεμβολη σου εξελθαι σε και παραδιδοναι τον εχθρον σου προ προσωπου σου και εσται η παρεμβολη σου αγια,εμπεριπατεω,holy camp,"Because the Lord your God walks about in your camp to deliver you and hand over your enemy before your face, and your camp shall be holy, and he shall not see among you indecency of thing and turn away from you.",walketh in thy camp,Current line keeps the Greek walks-about wording.,reviewed,codex
Judges 7:24,και αγγελους απεστειλεν γιδεων εν παντι ορει εφραιμ λεγων καταβητε εις συναντησιν μαδιαμ και προκαταλαβεσθε εαυτοις το υδωρ εως βαιθηρα και τον ιορδανην,προκαταλαμβανω,gideon calls ephraim,"And Gideon sent messengers through all hill-country of Ephraim, saying, Come down to meet Midian, and seize waters for yourselves as far as Baithēra and Jordan. And every man of Ephraim cried out and seized the waters as far as Baithēra and Jordan.",take before them the waters,Current line keeps the Greek seize-for-yourselves wording.,reviewed,codex
Exodus 36:1,και βεσελεηλ και οολιαβ και πας σοφος τη καρδια ω εδοθη σοφια και επιστημη εν αυτοις συνιεναι ποιειν παντα τα εργα της αγιας λειτουργιας,επιστημη,wise-hearted craftsmen,"And Bezalel and Oholiab and every wise-hearted one to whom wisdom and knowledge were given, to understand how to do all works of holy service, shall do according to all things whatever Lord commanded.",to know how to perform all the works,Current line keeps the Greek wisdom-and-knowledge wording.,reviewed,codex
1 Kings 6:7,και ο οικος εν τω οικοδομεισθαι αυτον λιθοις ακεραιοις αργοις ωκοδομηθη και σφυρα και πελεκυς και παν σκευος σιδηρουν ουκ ηκουσθη εν τω οικω,ακεραιος,temple silent construction,"And house, while it was being built, was built with quarry-cut prepared stones, and hammer and axe and every iron tool was not heard in house during its building.",made ready before they were brought thither,Current line keeps the Greek silent-building wording.,reviewed,codex
1 Kings 21:23,και οι παιδες του βασιλεως συριας ειπαν θεος των ορεων ο θεος ισραηλ εστιν και ου θεος κοιλαδων δια τουτο υπερισχυσαν υπερ ημων,κοιλας,syrian explanation,"And the servants of the king of Syria said, God of Israel is god of mountains and not god of valleys, because of this he prevailed over us. But let us fight them in the plain, and if not, surely we shall prevail over them.",their God is a God of the hills,Current line keeps the Greek valleys wording.,reviewed,codex
Nehemiah 13:26,ουχι δια ταυτα ημαρτεν σαλωμων βασιλευς ισραηλ και εν εθνεσι πολλοις ουκ ην βασιλευς ομοιος αυτω και αγαπωμενος τω θεω ην και εδωκεν αυτον ο θεος βασιλεα επι παντα ισραηλ,αγαπωμενος,solomon warning,"Did not Salomon king of Israel sin thus? And among many nations there was no king like him, and he was loved by God, and God gave him as king over all Israel. Yet foreign women caused even him to sin.",beloved of his God,Current line keeps the Greek loved-by-God wording.,reviewed,codex
Exodus 9:29,και ειπεν αυτω μωυσης ως αν εξελθω της πολεως εκπετασω τας χειρας μου προς κυριον και αι φωναι παυσονται και η χαλαζα και ο υετος ουκ εσται ετι,εκπεταζω,plague prayer hands,"And Moses said to him, As soon as I go out from the city, I will spread out my hands to the Lord, and voices will cease, and hail and rain will be no more, so that you may know that earth is Lord's.",I will spread abroad my hands,Current line keeps the Greek spread-out-my-hands wording.,reviewed,codex
Numbers 1:22,των υιων συμεων κατα συγγενειας αυτων κατα δημους αυτων κατ οικους πατριων αυτων κατα αριθμον ονοματων αυτων κατα κεφαλην αυτων,κατα κεφαλην,simeon census formula,"As for the sons of Simeon, by their families, by their clans, by the houses of their fathers, by the number of their names, by their headcount, every male from twenty years old and upward, every one going out in force,",by their polls,Current line keeps the Greek by-their-headcount wording.,reviewed,codex
Numbers 17:5,μνημοσυνον τοις υιοις ισραηλ οπως αν μη προσελθη αλλογενης ος ουκ εστιν εκ του σπερματος ααρων θειναι θυμιαμα εναντι κυριου και ουκ εσται ωσπερ κορεν και η επισυστασις αυτου,επισυστασις,korah memorial,"a memorial to the sons of Israel, so that no stranger who is not from the seed of Aaron may come near to place incense before the Lord, and he will not become like Korē and his coalition, just as the Lord spoke by the hand of Moses to him.",his company,Current line keeps the Greek coalition wording.,reviewed,codex
1 Kings 13:11,και προφητης εις πρεσβυτης κατωκει εν βαιθηλ και ηλθον οι υιοι αυτου και διηγησαντο αυτω παντα τα εργα α εποιησεν ο ανθρωπος του θεου εν τη ημερα εκεινη εν βαιθηλ,διηγεομαι,old prophet in bethel,"And one old prophet lived in Baithēl, and his sons came and recounted to him all deeds that man of God did on that day in Baithēl and words which he spoke to the king.",told him all the works,Current line keeps the Greek recounted wording.,reviewed,codex
Leviticus 8:31,και ειπεν μωυσης προς ααρων και προς τους υιους αυτου εψησατε τα κρεα εν τη αυλη της σκηνης του μαρτυριου εν τοπω αγιω και εκει φαγεσθε αυτα και τους αρτους τους εν τω κανω,κανους,ordination meal,"And Moses said to Aaron and to his sons, Boil flesh in the court of the tent of testimony, in holy place, and there eat it, and loaves in basket, just as it has been commanded me, saying, Aaron and his sons shall eat them.",seethe the flesh at the door,Current line keeps the Greek court and basket wording.,reviewed,codex
1 Kings 11:33,οτι εγκατελιπεν με και εποιησεν τη ασταρτη βδελυγμα σιδωνιων και τω χαμως και τοις ειδωλοις μωαβ και τω βασιλει αυτων προσοχθισμα υιων αμμων,προσοχθισμα,solomon apostasy list,"because he forsook me and did to Astarte, abomination of Sidonians, and to Chamos and idols of Moab and to their king, provocation of sons of Ammon, and did not walk in my ways to do what is right before me and my ordinances and my judgments as David his father.",Milcom abomination of the children of Ammon,Current line keeps the Greek their-king provocation wording.,reviewed,codex
1 Chronicles 6:47,και τοις υιοις γεδσων κατα συγγενειας αυτων εκ φυλης ισσαχαρ εκ φυλης ασηρ εκ φυλης νεφθαλι εκ φυλης μανασση,γεδσων,gershonite allotments,"And to the sons of Gedson according to their families, from the tribe of Issachar, from the tribe of Aser, from the tribe of Nephthali, from the tribe of Manasseh in Basan, thirteen cities.",to the sons of Gedson,Current line keeps the Greek Gedson form.,reviewed,codex
1 Kings 7:4,και εποιησεν δυο στεφανωματα χωνευτα χαλκα επιθειναι επι των κεφαλων των στυλων πεντε πηχεις υψος στεφανωματος του ενος και πεντε πηχεις υψος στεφανωματος του δευτερου,στεφανωμα,pillar capitals,"And he made two capitals, cast in bronze, to put upon the heads of pillars. Five cubits was height of one capital and five cubits height of second capital.",chapiters molten of brass,Current line keeps the Greek capitals wording.,reviewed,codex
Joshua 8:1,και ειπεν κυριος προς ιησουν μη φοβου μηδε δειλιασης λαβε μετα σου παντας τους ανδρας τους πολεμιστας και αναστας αναβηθι εις γαι ιδου δεδωκα εις τας χειρας σου τον βασιλεα γαι,δειλιαω,ai command,"And the Lord said to Joshua, Do not fear, nor be cowardly. Take with you all warriors, and rising, go up to Ai. Behold, I have given into your hands king of Ai and his land.",be not timid,Current line keeps the Greek be-cowardly wording.,reviewed,codex
2 Chronicles 7:7,και ηγιασεν σαλωμων το μεσον της αυλης της εν οικω κυριου οτι εκει εποιησεν τα ολοκαυτωματα και τα στεατα των σωτηριων οτι το θυσιαστηριον το χαλκουν,μεσον,solomon sanctifies court,"And Salomon sanctified middle of court in the house of the Lord, because there he made whole burnt offerings and fat of offerings of salvation, because bronze altar that Solomon made could not receive whole burnt offering and sacrifice and fat.",the midst of the court,Current line keeps the Greek middle-of-court wording.,reviewed,codex
Deuteronomy 28:15,και εσται εαν μη εισακουσης της φωνης κυριου του θεου σου φυλασσειν και ποιειν πασας τας εντολας αυτου οσας εγω εντελλομαι σοι σημερον και επελευσονται επι σε πασαι αι καταραι αυται,επερχομαι,curse section opening,"And it shall be, if you do not listen to the voice of the Lord your God, keeping and doing all his commands that I command you today, then all these curses shall come upon you and overtake you.",shall come upon thee,Current line keeps the Greek come-upon-you wording.,reviewed,codex
1 Samuel 21:6,και απεκριθη δαυιδ τω ιερει και ειπεν αυτω αλλα γυναικος απεσχημεθα χθες και τριτην ημεραν εκ του εξελθειν με και εγενηθη παντα τα παιδαρια ηγιασμενα,απεχω,david and holy bread,"And David answered priest and said to him, On the contrary, we have been kept from woman yesterday and third day since my going out, and all the young men have become sanctified.",women have been kept from us about these three days,Current line keeps the Greek kept-from-woman wording.,reviewed,codex
Leviticus 27:18,εαν δε μετα την αφεσιν αγιαση τον αγρον αυτου και συνλογιειται αυτω ο ιερευς το αργυριον κατα τα ετη τα υπολοιπα εως του ενιαυτου της αφεσεως,συνλογιζομαι,field valuation after release,"But if he sanctifies his field later, after release, priest shall reckon silver for him according to years remaining until year of release, and it shall be subtracted from your valuation.",the priest shall reckon unto him the money,Current line keeps the Greek reckon-silver wording.,reviewed,codex
1 Kings 7:27,τους δυο στυλους και τας στροφυλλας επι τας κεφαλας των στυλων δυο και τα δυο δικτυα του συγκαλυπτειν αμφοτερα τας στροφυλλας των αναγλυφων των επι των στεφανωματων,στροφυλλη,pillar carvings network,"the two pillars and twisted works upon the heads of pillars, two, and two networks for covering both twisted works of carvings on capitals that were on the heads of pillars.",wreathen work,Current line keeps the Greek twisted-works wording.,reviewed,codex
1 Chronicles 5:24,και ουτοι αρχοντες οικων πατριων αυτων οφερ και ισει και ελιηλ και εσδριηλ και ιερμια και οδουια και ιεδιηλ δυνατοι ισχυος ανδρες ονομαστοι αρχοντες των οικων πατριων αυτων,ονομαστος,reubenite chiefs,"And these were chiefs of houses of their fathers: Opher and Isei and Eliēl and Esdriēl and Iermia and Odouia and Iediēl, mighty men of power, men renowned, chiefs of houses of their fathers.",famous men,Current line keeps the Greek men-renowned wording.,reviewed,codex
Leviticus 11:32,και παν εφ ο αν επιπεση απ αυτων μετα το αποθανειν αυτα ακαθαρτα εσται απο παντος σκευους ξυλινου η ιματιου η δερματος η σακκου παν σκευος ο εαν ποιηθη εργον εν αυτω,σκευος,item touched by carcass,"And anything on which one of them falls, after they are dead, shall be unclean, whether any wooden vessel or garment or skin or sack, every vessel in which work is done. It shall be put in water and be unclean until evening, and then it will be clean.",whatsoever vessel of wood,Current line keeps the Greek every-vessel wording.,reviewed,codex
Exodus 25:33,τρεις κρατηρες αμυγδαλωτοι εν τω κλαδω τω ενι σφαιρωτηρ και κρινον και τρεις κρατηρες αμυγδαλωτοι εν τω κλαδω τω ενι σφαιρωτηρ και κρινον,κρατηρ,menorah branch bowls,"Three almond-shaped bowls on one branch, with knob and lily. So also on six branches that come out from lampstand.",bowls made like almonds,Current line keeps the Greek almond-shaped bowl wording.,reviewed,codex
1 Chronicles 6:9,θααθ υιος αυτου ουριηλ υιος αυτου οζια υιος αυτου σαουλ υιος αυτου,ονομα,levite genealogy short line,"Thaath his son, Ouriel his son, Ozia his son, Saul his son.","Tahath his son, Uriel his son",Current line keeps transmitted Greek name chain.,reviewed,codex
1 Samuel 29:6,και εκαλεσεν αγχους τον δαυιδ και ειπεν αυτω ζη κυριος οτι ευθης συ και αγαθος εν οφθαλμοις μου η εξοδος σου και η εισοδος σου μετ εμου εν τη παρεμβολη,ευθης,achish to david,"And Anchous called David and said to him, As the Lord lives, you are upright, and good in my eyes is your going out and your coming in with me in camp, because I have not found evil in you from day of your coming to me until this day.",thy going out and thy coming in with me is good,Current line keeps the Greek upright and camp wording.,reviewed,codex
Joshua 8:14,και εγενετο ως ειδεν ο βασιλευς της γαι εσπευσεν και εξηλθεν εις συναντησιν αυτοις ευθεως εις πολεμον αυτος και πας ο λαος ο μετ αυτου και ουκ ηδει οτι ενεδρα αυτω εστιν οπισθεν της πολεως,ενεδρα,king of ai trap,"And it happened, when king of Ai saw, he hurried and went out to meet them straight for battle, he and all the people with him, and he did not know that ambush for him was behind city.",he wist not that there was an ambush against him behind the city,Current line keeps the Greek straight-for-battle wording.,reviewed,codex
1 Samuel 6:15,και οι λευιται ανηγαγον την κιβωτον κυριου και την θηκην εργαβ μετ αυτης και τα σκευη τα χρυσα τα επ αυτης και εθηκαν επι του λιθου του μεγαλου,εργαβ,ark chest ergab,"And Levites brought up ark of the Lord and chest with it and gold items upon it and placed them on great stone, and men of Baithsames offered whole burnt offerings and sacrifices on that day to the Lord.",the coffer with it,Current line keeps the Greek chest wording.,reviewed,codex
Numbers 30:6,και εαν ο πατηρ αυτης απαγορευσει απαγορευσαι αυτη εν τη ημερα η αν ακουση παντα τας ευχας αυτης και τα δεσμα οσα εδησατο κατα της ψυχης αυτης ου στησεται,απαγορευω,father voids vows,"But if her father by refusal refuses her on the day he hears all her vows and bindings which she bound against her life, they shall not stand, and the Lord will forgive her, because her father refused her.",if her father expressly forbid her,Current line keeps the Greek refusal-refuses wording.,reviewed,codex
